Feature,Importance
R_1_mean,0.0710264417296534
P_2_last,0.05972267452240006
B_3_last,0.042624781456242926
B_9_mean,0.04055457618562766
P_2_mean,0.04001906032314149
D_44_last,0.030444468658026146
B_9_last,0.029356872194068788
D_44_mean,0.02804295696642382
B_2_last,0.026805898042377225
D_44_max,0.024357107026673097
B_37_last,0.022307795984111038
B_23_last,0.021473512803120307
D_74_last,0.01828987150514682
B_3_mean,0.017655115870221238
B_38_last,0.01685538549277337
B_20_mean,0.015888372526874237
B_1_last,0.014539350219293664
D_41_last,0.014310536818908353
D_42_mean,0.013598024543336935
B_9_max,0.012809074160812955
